state,level,office_or_chamber,party,official_url,press_listing_url,roster_url,detail_url_pattern,cms_family,requires_js,pagination,feed_rss,feed_wp_json,post_frequency_estimate,scraping_strategy,attribution_strategy,classification,confidence,weird_risks,_origin_file
CA,executive,Governor,,,,,https://www.gov.ca.gov/{YYYY}/{MM}/{DD}/{slug}/,,False,,https://www.gov.ca.gov/feed/,https://www.gov.ca.gov/wp-json/wp/v2/posts?per_page=20&_embed=1,,,,,0.95,,selector_deep_dive.json
CA,executive,"State Senate (Wiener, SD-11) — exemplar",,,,,https://sd11.senate.ca.gov/news/{slug},,False,,,,,,,,0.85,,selector_deep_dive.json
CA,executive,ag,,https://oag.ca.gov/,https://oag.ca.gov/news,,https://oag.ca.gov/news/press-releases/{slug},drupal,False,querystring,https://oag.ca.gov/news/feed,,daily,rss,,ready_first_wave,0.95,[],exec_govs_ags.json
CA,executive,boe,,https://www.boe.ca.gov/,https://www.boe.ca.gov/news/newsrels.htm,,[NEEDS VERIFICATION],static_html,False,[NEEDS VERIFICATION],,,monthly,httpx_static_listing,,needs_profile,0.4,['BOE has 4 elected members + Controller; semi-elected body; press is institutional not per-member'],exec_other_statewide.json
CA,executive,controller,,https://www.sco.ca.gov/,https://www.sco.ca.gov/eo_pressrel.html,,https://www.sco.ca.gov/eo_pressrel_[ID].html,static_html,False,year_grouped_static_index,,,weekly,httpx_static_with_numeric_id_walk,,ready_first_wave,0.9,['404 on direct landing in WebFetch but search confirmed structure; numeric IDs are sparse (need bounded enumeration)'],exec_other_statewide.json
CA,executive,governor,,https://www.gov.ca.gov/,https://www.gov.ca.gov/newsroom/,,https://www.gov.ca.gov/{year}/{month}/{day}/{slug}/,wordpress,False,querystring,https://www.gov.ca.gov/feed/,https://www.gov.ca.gov/wp-json/wp/v2/posts,daily,wp_json,,ready_first_wave,0.6,['Probe ECONNREFUSED — Akamai/WAF possible'],exec_govs_ags.json
CA,executive,insurance_commissioner,,https://www.insurance.ca.gov/,https://www.insurance.ca.gov/0400-news/0100-press-releases/,,https://www.insurance.ca.gov/0400-news/0100-press-releases/[YEAR]/release[NN]-[YY].cfm,coldfusion,False,year_index,,,weekly,coldfusion_year_index_walk,,ready_first_wave,0.85,['ColdFusion .cfm; Constant Contact for subs (no RSS)'],exec_other_statewide.json
CA,executive,sos,,https://www.sos.ca.gov/,https://www.sos.ca.gov/administration/news-releases-and-advisories,,https://www.sos.ca.gov/administration/news-releases-and-advisories/[YEAR]/[slug],drupal_or_static,False,year_archive,,,weekly,httpx_listing_with_year_archive_walk,,needs_profile,0.55,['Initial 404 on /administration/news; needs URL refresh probe'],exec_other_statewide.json
CA,executive,spi,,https://www.cde.ca.gov/,https://www.cde.ca.gov/nr/ne/yr26/,,https://www.cde.ca.gov/nr/ne/yr[YY]/yr[YY]rel[NN].asp,asp_classic,False,year_archive_with_release_number,,,multiple_weekly,asp_year_archive_enumerate,,ready_first_wave,0.92,['Sequential numeric release IDs reset annually; need year-aware enumerate'],exec_other_statewide.json
CA,executive,treasurer,,https://www.treasurer.ca.gov/,https://www.treasurer.ca.gov/news/releases,,https://www.treasurer.ca.gov/news/releases/[year]/[slug],drupal,False,year_filter,,,weekly,drupal_news_listing_httpx,,needs_profile,0.7,[],exec_other_statewide.json
CO,executive,Governor,,,,,,,,,,,,,,,0.2,,selector_deep_dive.json
CO,executive,ag,,https://coag.gov/,https://coag.gov/press-releases/,,https://coag.gov/press-releases/{slug}/,wordpress,False,querystring,https://coag.gov/feed/,https://coag.gov/wp-json/wp/v2/posts,weekly,wp_json,,ready_first_wave,0.75,[],exec_govs_ags.json
CO,executive,governor,,https://governor.colorado.gov/,https://governor.colorado.gov/press-releases,,https://governor.colorado.gov/press-releases/{slug},drupal,False,querystring,,,weekly,httpx_html,,needs_profile,0.45,['TLS cert error on probe'],exec_govs_ags.json
CO,executive,sos,,https://www.coloradosos.gov/,https://www.coloradosos.gov/pubs/newsRoom/index.html,,https://www.coloradosos.gov/pubs/newsRoom/pressReleases/[YYYY]/PR[YYYYMMDD][topic].html,static_html,False,year_index,,,weekly,httpx_static_year_walk,,ready_first_wave,0.92,[],exec_other_statewide.json
CO,executive,treasurer,,https://treasury.colorado.gov/,https://treasury.colorado.gov/news,,[NEEDS VERIFICATION],drupal_govt,False,[NEEDS VERIFICATION],,,monthly,drupal_listing_walk_with_403_retry,,needs_profile,0.5,['403 on direct fetch; needs browser headers'],exec_other_statewide.json
CT,executive,ag,,https://portal.ct.gov/AG,https://portal.ct.gov/ag/press-releases/,,https://portal.ct.gov/ag/press-releases/{year}-press-releases/{slug},proprietary,False,querystring,,,daily,httpx_html,,ready_first_wave,0.85,['Sitecore'],exec_govs_ags.json
CT,executive,comptroller,,https://osc.ct.gov/,https://osc.ct.gov/agency-news/,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.55,[],exec_other_statewide.json
CT,executive,governor,,https://portal.ct.gov/governor,https://portal.ct.gov/governor/news/press-releases,,https://portal.ct.gov/governor/news/press-releases/{year}/{month}/{slug},proprietary,False,querystring,,,daily,httpx_html,,ready_first_wave,0.85,['Sitecore CMS — pagination via /Page-{n} pattern'],exec_govs_ags.json
CT,executive,sos,,https://portal.ct.gov/sots,https://portal.ct.gov/sots/press-releases,,[NEEDS VERIFICATION],ct_portal,False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.5,['CT title: Secretary of the State'],exec_other_statewide.json
CT,executive,treasurer,,https://portal.ct.gov/ott,https://portal.ct.gov/ott/press-room/press-releases,,[NEEDS VERIFICATION],ct_portal,False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.55,[],exec_other_statewide.json
DE,executive,ag,,https://attorneygeneral.delaware.gov/,https://news.delaware.gov/category/doj/,,https://news.delaware.gov/{year}/{month}/{day}/{slug}/,wordpress,False,querystring,https://news.delaware.gov/category/doj/feed/,https://news.delaware.gov/wp-json/wp/v2/posts,weekly,wp_json,,ready_first_wave,0.65,['Same shared news.delaware.gov — must filter by department category'],exec_govs_ags.json
DE,executive,auditor,,https://auditor.delaware.gov/,https://auditor.delaware.gov/news/,,[NEEDS VERIFICATION],wordpress_govt,False,[NEEDS VERIFICATION],,,monthly,wp_json_or_httpx_walk,,needs_profile,0.45,[],exec_other_statewide.json
DE,executive,governor,,https://governor.delaware.gov/,https://news.delaware.gov/category/governor/,,https://news.delaware.gov/{year}/{month}/{day}/{slug}/,wordpress,False,querystring,https://news.delaware.gov/category/governor/feed/,https://news.delaware.gov/wp-json/wp/v2/posts,weekly,wp_json,,ready_first_wave,0.7,['Releases live on shared news.delaware.gov; filter by category=governor'],exec_govs_ags.json
DE,executive,insurance_commissioner,,https://insurance.delaware.gov/,https://insurance.delaware.gov/news/,,[NEEDS VERIFICATION],wordpress_govt,False,[NEEDS VERIFICATION],,,weekly,wp_json_or_httpx_walk,,needs_profile,0.55,[],exec_other_statewide.json
DE,executive,ltgov,,https://ltgov.delaware.gov/,https://ltgov.delaware.gov/news/,,[NEEDS VERIFICATION],wordpress_govt,False,[NEEDS VERIFICATION],,,rare,wp_json_or_httpx_walk,,needs_profile,0.4,['LG often shares feed with Governor'],exec_other_statewide.json
DE,executive,treasurer,,https://treasurer.delaware.gov/,https://treasurer.delaware.gov/news/,,[NEEDS VERIFICATION],wordpress_govt,False,[NEEDS VERIFICATION],,,monthly,wp_json_or_httpx_walk,,needs_profile,0.45,[],exec_other_statewide.json
FL,executive,Governor,,,,,,,,,,,,,,,0.2,,selector_deep_dive.json
FL,executive,ag,,https://www.myfloridalegal.com/,https://www.myfloridalegal.com/newsroom/press-releases,,https://www.myfloridalegal.com/newsroom/press-releases/{slug},drupal,False,querystring,,,weekly,httpx_html,,needs_profile,0.4,['Probe 404 on first guess; site recently restructured (myfloridalegal.com)'],exec_govs_ags.json
FL,executive,ag_commissioner,,https://www.fdacs.gov/,https://www.fdacs.gov/News-Events/Press-Releases,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.5,['WebFetch returned empty content body'],exec_other_statewide.json
FL,executive,cfo,,https://myfloridacfo.com/,https://myfloridacfo.com/news/pressreleases,,https://myfloridacfo.com/news/pressreleases/press-release-details/[YYYY]/[MM]/[DD]/[slug],sitefinity,True,[NEEDS VERIFICATION],,,weekly,playwright_sitefinity_listing,,ready_first_wave,0.85,['Ingoglia appointed July 2025; CFO is normally elected statewide'],exec_other_statewide.json
FL,executive,governor,,https://www.flgov.com/,https://www.flgov.com/news/,,https://www.flgov.com/{year}/{month}/{slug}/,wordpress,False,querystring,https://www.flgov.com/feed/,https://www.flgov.com/wp-json/wp/v2/posts,daily,wp_json,,ready_first_wave,0.55,['Probe returned 403 — Cloudflare/WAF; may need browser headers or Playwright'],exec_govs_ags.json
GA,executive,ag,,https://law.georgia.gov/,https://law.georgia.gov/press-releases,,https://law.georgia.gov/press-releases/{date}/{slug},drupal,False,querystring,,,weekly,httpx_html,,ready_first_wave,0.8,['GovHub Drupal — releases co-listed at georgia.gov'],exec_govs_ags.json
GA,executive,ag_commissioner,,https://agr.georgia.gov/,https://agr.georgia.gov/press-releases,,[NEEDS VERIFICATION],drupal_govt,False,[NEEDS VERIFICATION],,,weekly,drupal_listing_walk,,needs_profile,0.55,[],exec_other_statewide.json
GA,executive,governor,,https://gov.georgia.gov/,https://gov.georgia.gov/press-releases,,https://gov.georgia.gov/press-releases/{date}/{slug},drupal,False,querystring,,,weekly,httpx_html,,ready_first_wave,0.7,['GovHub platform'],exec_govs_ags.json
GA,executive,insurance_commissioner,,https://oci.georgia.gov/,https://oci.georgia.gov/press-releases,,https://oci.georgia.gov/press-releases/[date]/[slug],drupal_govt,False,list_pagination,,,weekly,drupal_listing_walk,,needs_profile,0.6,[],exec_other_statewide.json
GA,executive,labor_commissioner,,https://dol.georgia.gov/,https://dol.georgia.gov/press-releases,,[NEEDS VERIFICATION],drupal_govt,False,[NEEDS VERIFICATION],,,weekly,drupal_listing_walk,,needs_profile,0.55,['Thompson on extended medical leave; deputy operating office'],exec_other_statewide.json
GA,executive,sos,,https://sos.ga.gov/,https://sos.ga.gov/news/division/31,,https://sos.ga.gov/news/[slug],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,multiple_weekly,httpx_listing_walk,,ready_first_wave,0.85,['Raffensperger running for Governor 2026 — succession watch'],exec_other_statewide.json
GA,executive,spi,,https://www.gadoe.org/,https://www.gadoe.org/External-Affairs-and-Policy/communications/Pages/PressReleases2.aspx,,[NEEDS VERIFICATION],sharepoint,True,[NEEDS VERIFICATION],,,weekly,playwright_sharepoint_listing,,needs_profile,0.55,['SharePoint typically JS-required'],exec_other_statewide.json
HI,executive,ag,,https://ag.hawaii.gov/,https://ag.hawaii.gov/blog/,,https://ag.hawaii.gov/blog/{slug}/,wordpress,False,querystring,https://ag.hawaii.gov/feed/,https://ag.hawaii.gov/wp-json/wp/v2/posts,weekly,wp_json,,ready_first_wave,0.6,['Press releases distributed as PDFs in /blog posts'],exec_govs_ags.json
HI,executive,governor,,https://governor.hawaii.gov/,https://governor.hawaii.gov/newsroom/,,https://governor.hawaii.gov/newsroom/{slug}/,wordpress,False,querystring,https://governor.hawaii.gov/feed/,https://governor.hawaii.gov/wp-json/wp/v2/posts,weekly,wp_json,,ready_first_wave,0.7,[],exec_govs_ags.json
HI,executive,ltgov,,https://ltgov.hawaii.gov/,https://ltgov.hawaii.gov/news/,,[NEEDS VERIFICATION],wordpress_govt,False,[NEEDS VERIFICATION],,,rare,wp_json_or_httpx_walk,,needs_profile,0.4,['HI LG often shares feed with Governor'],exec_other_statewide.json
IA,executive,ag,,https://www.iowaattorneygeneral.gov/,https://www.iowaattorneygeneral.gov/newsroom/,,https://www.iowaattorneygeneral.gov/newsroom/{slug},drupal,False,querystring,,,weekly,httpx_html,,needs_profile,0.45,[],exec_govs_ags.json
IA,executive,ag_commissioner,,https://iowaagriculture.gov/,https://iowaagriculture.gov/news,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.5,[],exec_other_statewide.json
IA,executive,auditor,,https://auditor.iowa.gov/,https://auditor.iowa.gov/news,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.55,['Sand running for Governor 2026; high media output'],exec_other_statewide.json
IA,executive,governor,,https://governor.iowa.gov/,https://governor.iowa.gov/press-release,,https://governor.iowa.gov/press-release/{date}/{slug},drupal,False,querystring,,,weekly,httpx_html,,ready_first_wave,0.55,['Drupal'],exec_govs_ags.json
IA,executive,sos,,https://sos.iowa.gov/,https://sos.iowa.gov/news/,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.5,[],exec_other_statewide.json
IA,executive,treasurer,,https://www.iowatreasurer.gov/,https://www.iowatreasurer.gov/news,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,monthly,httpx_listing_walk,,needs_profile,0.4,[],exec_other_statewide.json
ID,executive,ag,,https://www.ag.idaho.gov/,https://www.ag.idaho.gov/news-releases/,,https://www.ag.idaho.gov/news-releases/{slug}/,wordpress,False,querystring,https://www.ag.idaho.gov/feed/,https://www.ag.idaho.gov/wp-json/wp/v2/posts,weekly,wp_json,,ready_first_wave,0.55,[],exec_govs_ags.json
ID,executive,controller,,https://sco.idaho.gov/,https://sco.idaho.gov/news/,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,rare,httpx_listing_walk,,needs_profile,0.35,[],exec_other_statewide.json
ID,executive,governor,,https://gov.idaho.gov/,https://gov.idaho.gov/pressreleases/,,https://gov.idaho.gov/pressreleases/{slug}/,wordpress,False,querystring,https://gov.idaho.gov/feed/,https://gov.idaho.gov/wp-json/wp/v2/posts,weekly,wp_json,,ready_first_wave,0.65,[],exec_govs_ags.json
ID,executive,ltgov,,https://lgo.idaho.gov/,https://lgo.idaho.gov/news/,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,rare,httpx_listing_walk,,needs_profile,0.35,[],exec_other_statewide.json
ID,executive,sos,,https://sos.idaho.gov/,https://sos.idaho.gov/news/,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,monthly,httpx_listing_walk,,needs_profile,0.45,[],exec_other_statewide.json
ID,executive,spi,,https://www.sde.idaho.gov/,https://www.sde.idaho.gov/communications/news.html,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.5,[],exec_other_statewide.json
ID,executive,treasurer,,https://sto.idaho.gov/,https://sto.idaho.gov/news/,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,rare,httpx_listing_walk,,needs_profile,0.35,[],exec_other_statewide.json
IL,executive,Governor,,,,,,,True,,,,,,,,0.25,,selector_deep_dive.json
IL,executive,ag,,https://illinoisattorneygeneral.gov/,https://illinoisattorneygeneral.gov/news/,,https://illinoisattorneygeneral.gov/news/{date}/{slug},wordpress,False,querystring,https://illinoisattorneygeneral.gov/feed/,https://illinoisattorneygeneral.gov/wp-json/wp/v2/posts,weekly,wp_json,,needs_profile,0.4,['Probe 404 on first guess — domain newly migrated; verify path'],exec_govs_ags.json
IL,executive,comptroller,,https://illinoiscomptroller.gov/,https://illinoiscomptroller.gov/newsroom/press-releases,,https://illinoiscomptroller.gov/newsroom/press-releases/[slug],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,multiple_weekly,httpx_listing_walk,,ready_first_wave,0.85,[],exec_other_statewide.json
IL,executive,governor,,https://gov.illinois.gov/,https://gov.illinois.gov/news.html,,https://gov.illinois.gov/news/press-release.{id}.html,proprietary,False,querystring,,,daily,httpx_html,,needs_profile,0.5,['Proprietary IL.gov platform; numeric ID URLs'],exec_govs_ags.json
IL,executive,sos,,https://www.ilsos.gov/,https://www.ilsos.gov/news.html,,https://www.ilsos.gov/news/[YYYY]/[month]-[day]-[YYYY]-[slug].html,static_html,False,year_grouped_listing,,,weekly,httpx_static_year_walk,,ready_first_wave,0.9,[],exec_other_statewide.json
IL,executive,treasurer,,https://www.illinoistreasurer.gov/,https://www.illinoistreasurer.gov/Press,,PDF-based: /TWOCMS/media/doc/[month][year]_[slug].pdf,azure_custom,True,[NEEDS VERIFICATION],,,weekly,playwright_listing_pdf_extraction,,needs_profile,0.65,['Press releases are PDFs only; need PDF text extraction'],exec_other_statewide.json
IN,executive,ag,,https://www.in.gov/attorneygeneral/,https://events.in.gov/agorg/_press-releases,,https://events.in.gov/agorg/event/{id},proprietary,unknown,querystring,,,weekly,httpx_html,,needs_profile,0.35,['events.in.gov shared events platform — non-standard'],exec_govs_ags.json
IN,executive,auditor,,https://www.in.gov/auditor/,https://www.in.gov/auditor/news-and-publications/,,[NEEDS VERIFICATION],in_gov_cms,False,[NEEDS VERIFICATION],,,monthly,httpx_listing_walk,,needs_profile,0.45,"[""IN office officially renamed 'Auditor of State' / 'Comptroller'; check current branding""]",exec_other_statewide.json
IN,executive,governor,,https://www.in.gov/gov/,https://www.in.gov/gov/newsroom/,,https://www.in.gov/gov/newsroom/{slug}/,proprietary,False,querystring,,,weekly,httpx_html,,needs_profile,0.5,['IN.gov state portal CMS'],exec_govs_ags.json
IN,executive,sos,,https://www.in.gov/sos/,https://www.in.gov/sos/press-room/news-releases/,,[NEEDS VERIFICATION],in_gov_cms,False,year_archive,,,weekly,httpx_listing_walk,,needs_profile,0.7,[],exec_other_statewide.json
IN,executive,treasurer,,https://www.in.gov/tos/,https://www.in.gov/tos/2406.htm,,[NEEDS VERIFICATION],in_gov_cms,False,[NEEDS VERIFICATION],,,monthly,httpx_listing_walk,,needs_profile,0.45,[],exec_other_statewide.json
KS,executive,ag,,https://ag.ks.gov/,https://ag.ks.gov/media-room/news-releases,,https://ag.ks.gov/media-room/news-releases/{year}/{date}/{slug},proprietary,False,querystring,,,weekly,httpx_html,,needs_profile,0.4,[],exec_govs_ags.json
KS,executive,governor,,https://governor.kansas.gov/,https://governor.kansas.gov/newsroom/,,https://governor.kansas.gov/{slug}/,wordpress,False,querystring,https://governor.kansas.gov/feed/,https://governor.kansas.gov/wp-json/wp/v2/posts,weekly,wp_json,,ready_first_wave,0.65,[],exec_govs_ags.json
KS,executive,insurance_commissioner,,https://insurance.kansas.gov/,https://insurance.kansas.gov/news/,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.5,[],exec_other_statewide.json
KS,executive,sos,,https://sos.ks.gov/,https://sos.ks.gov/general-information/news-releases.html,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.5,[],exec_other_statewide.json
KS,executive,treasurer,,https://kansasstatetreasurer.com/,https://kansasstatetreasurer.com/news,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,monthly,httpx_listing_walk,,needs_profile,0.4,[],exec_other_statewide.json
KY,executive,ag,,https://www.ag.ky.gov/,https://www.ag.ky.gov/Resources/Media-Center/Pages/default.aspx,,https://www.ag.ky.gov/Resources/Media-Center/Pages/{slug}.aspx,sharepoint,False,querystring,,,weekly,httpx_html,,needs_profile,0.4,['SharePoint .aspx'],exec_govs_ags.json
KY,executive,ag_commissioner,,https://www.kyagr.com/,https://www.kyagr.com/marketing/press_releases.html,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.45,[],exec_other_statewide.json
KY,executive,auditor,,https://auditor.ky.gov/,https://auditor.ky.gov/news/Pages/default.aspx,,[NEEDS VERIFICATION],sharepoint,True,[NEEDS VERIFICATION],,,weekly,playwright_sharepoint_listing,,needs_profile,0.5,[],exec_other_statewide.json
KY,executive,governor,,https://governor.ky.gov/,https://governor.ky.gov/news,,https://kentucky.gov/Pages/Activity-stream.aspx?n={id},sharepoint,True,infinite-scroll,,,daily,playwright,,needs_profile,0.45,"['JS-rendered news list (loading state seen on probe)', 'GovDelivery email distribution']",exec_govs_ags.json
KY,executive,sos,,https://www.sos.ky.gov/,https://www.sos.ky.gov/Pages/PressReleases.aspx,,[NEEDS VERIFICATION],sharepoint,True,[NEEDS VERIFICATION],,,weekly,playwright_sharepoint_listing,,needs_profile,0.55,['SharePoint typically JS-required'],exec_other_statewide.json
KY,executive,treasurer,,https://treasury.ky.gov/,https://treasury.ky.gov/news/Pages/default.aspx,,[NEEDS VERIFICATION],sharepoint,True,[NEEDS VERIFICATION],,,monthly,playwright_sharepoint_listing,,needs_profile,0.45,[],exec_other_statewide.json
LA,executive,ag,,https://www.ag.louisiana.gov/,https://www.ag.louisiana.gov/Article,,https://www.ag.louisiana.gov/Article/{id}/{slug},custom-aspnet,False,querystring,,,weekly,httpx_html,,needs_profile,0.4,['ASP.NET'],exec_govs_ags.json
LA,executive,ag_commissioner,,https://www.ldaf.state.la.us/,https://www.ldaf.state.la.us/news/,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.45,[],exec_other_statewide.json
LA,executive,governor,,https://gov.louisiana.gov/,https://gov.louisiana.gov/news,,https://gov.louisiana.gov/index.cfm/newsroom/detail/{id},custom-aspnet,False,querystring,,,weekly,httpx_html,,needs_profile,0.45,['ColdFusion-style /index.cfm/ URLs'],exec_govs_ags.json
LA,executive,insurance_commissioner,,https://www.ldi.la.gov/,https://www.ldi.la.gov/news,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.5,[],exec_other_statewide.json
LA,executive,ltgov,,https://www.ltgov.la.gov/,https://www.ltgov.la.gov/news/,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,monthly,httpx_listing_walk,,needs_profile,0.4,['LA LG also Commissioner of Tourism'],exec_other_statewide.json
LA,executive,sos,,https://www.sos.la.gov/,https://www.sos.la.gov/OurOffice/AboutTheSecretary/News/Pages/default.aspx,,[NEEDS VERIFICATION],sharepoint,True,[NEEDS VERIFICATION],,,weekly,playwright_sharepoint_listing,,needs_profile,0.5,[],exec_other_statewide.json
LA,executive,treasurer,,https://treasury.la.gov/,https://treasury.la.gov/news/,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,monthly,httpx_listing_walk,,needs_profile,0.4,[],exec_other_statewide.json
MA,executive,Governor,,,,,,,,,,,,,,,0.2,,selector_deep_dive.json
MA,executive,ag,,https://www.mass.gov/orgs/office-of-attorney-general-andrea-joy-campbell,https://www.mass.gov/orgs/office-of-attorney-general-andrea-joy-campbell/news,,https://www.mass.gov/news/{slug},drupal,False,querystring,,,daily,httpx_html,,ready_first_wave,0.6,['Same Mass.gov WAF'],exec_govs_ags.json
MA,executive,auditor,,https://www.mass.gov/orgs/office-of-the-state-auditor,https://www.mass.gov/news?_orgs%5B0%5D=org-office-of-the-state-auditor,,https://www.mass.gov/news/[slug],mass_gov_drupal,False,list_pagination,,,weekly,mass_gov_org_filter_walk,,ready_first_wave,0.8,['mass.gov uses unified org-filtered news index'],exec_other_statewide.json
MA,executive,governor,,https://www.mass.gov/orgs/office-of-governor-maura-healey-and-lt-governor-kim-driscoll,https://www.mass.gov/orgs/office-of-governor-maura-healey-and-lt-governor-kim-driscoll/news,,https://www.mass.gov/news/{slug},drupal,False,querystring,,,daily,httpx_html,,ready_first_wave,0.6,['Cloudflare WAF (probe 403); Mass.gov is custom Drupal'],exec_govs_ags.json
MA,executive,sos,,https://www.sec.state.ma.us/,https://www.sec.state.ma.us/divisions/news/news-archives/archived-news-stories.htm,,[NEEDS VERIFICATION],static_html,False,year_archive,,,weekly,httpx_static_walk,,needs_profile,0.65,[],exec_other_statewide.json
MA,executive,treasurer,,https://www.mass.gov/orgs/office-of-state-treasurer-and-receiver-general,https://www.mass.gov/news?_orgs%5B0%5D=org-office-of-state-treasurer-and-receiver-general,,https://www.mass.gov/news/[slug],mass_gov_drupal,False,list_pagination,,,weekly,mass_gov_org_filter_walk,,ready_first_wave,0.78,[],exec_other_statewide.json
MD,executive,ag,,https://www.marylandattorneygeneral.gov/,https://www.marylandattorneygeneral.gov/Pages/News/PressReleases.aspx,,https://www.marylandattorneygeneral.gov/press/{year}/{slug}.pdf,sharepoint,False,querystring,,,weekly,httpx_html,,needs_profile,0.5,"['Many releases distributed as PDFs', '301 redirect from /press/ to root']",exec_govs_ags.json
MD,executive,comptroller,,https://www.marylandtaxes.gov/,https://www.marylandtaxes.gov/comptroller-transition/news/index.php,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.55,[],exec_other_statewide.json
MD,executive,governor,,https://governor.maryland.gov/,https://governor.maryland.gov/news/press/Pages/default.aspx,,https://governor.maryland.gov/news/press/pages/{slug}.aspx,sharepoint,False,querystring,https://governor.maryland.gov:443/_layouts/15/MD.SharePoint.ToolKit.News/Rss.aspx?site=%2fnews%2fpress,,daily,rss,,ready_first_wave,0.95,['SharePoint .aspx detail URLs'],exec_govs_ags.json
ME,executive,ag,,https://www.maine.gov/ag/,https://www.maine.gov/ag/news-and-library/press-releases,,https://www.maine.gov/ag/news-and-library/press-releases/{slug},drupal,False,querystring,,,weekly,httpx_html,,ready_first_wave,0.85,[],exec_govs_ags.json
ME,executive,governor,,https://www.maine.gov/governor/mills/,https://www.maine.gov/governor/mills/news/press-releases,,https://www.maine.gov/governor/mills/news/{slug},drupal,False,querystring,,,weekly,httpx_html,,needs_profile,0.4,['Probe 404 — actual path differs'],exec_govs_ags.json
MI,executive,ag,,https://www.michigan.gov/ag,https://www.michigan.gov/ag/news,,https://www.michigan.gov/ag/news/press-releases/{year}/{month}/{day}/{slug},proprietary,False,querystring,,,daily,httpx_html,,ready_first_wave,0.5,['Same WAF'],exec_govs_ags.json
MI,executive,governor,,https://www.michigan.gov/whitmer,https://www.michigan.gov/whitmer/news,,https://www.michigan.gov/whitmer/news/press-releases/{year}/{month}/{day}/{slug},proprietary,False,querystring,,,daily,httpx_html,,ready_first_wave,0.5,['Probe 403 — Akamai/Imperva on michigan.gov'],exec_govs_ags.json
MI,executive,sos,,https://www.michigan.gov/sos,https://www.michigan.gov/sos/Resources/press-releases,,https://www.michigan.gov/sos/Resources/press-releases/[YYYY]/[MM]/[DD]/[slug],michigan_state_cms,False,year_archive,,,multiple_weekly,httpx_listing_walk_with_403_retry,,needs_profile,0.7,['michigan.gov returned 403 to WebFetch; needs browser headers'],exec_other_statewide.json
MN,executive,ag,,https://www.ag.state.mn.us/,https://www.ag.state.mn.us/Office/PressReleases.asp,,https://www.ag.state.mn.us/Office/PressRelease/{id}.asp,custom-aspnet,False,querystring,,,weekly,httpx_html,,needs_profile,0.45,['Classic ASP .asp pages'],exec_govs_ags.json
MN,executive,auditor,,https://www.osa.state.mn.us/,https://www.osa.state.mn.us/about/news/,,[NEEDS VERIFICATION],[NEEDS VERIFICATION],False,[NEEDS VERIFICATION],,,weekly,httpx_listing_walk,,needs_profile,0.5,['Office name: State Auditor (audits local govts only)'],exec_other_statewide.json
